Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-dependency-lookup,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-deploy,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-deploy-alioss,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-deploy-azure,2.5,2.5,2.85714,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-deploy-cloudfiles,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.0909
ember-deploy-couchbase,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-deploy-ddb,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-deploy-redis,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-deploy-rest-index,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-deploy-s3,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-deploy-s3-index,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-deploy-ssh-index,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,4.93827,4.96894,4.84848
ember-deploy-tagging-env,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-deploy-tagging-git,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-deploy-tagging-scalingo,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-deposit,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-deprecated,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-derequire,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
